TOKEN,NE-COARSE-LIT
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1254,4531,839,46/full/0/default.jpg",
The,O
Prefident,O
and,O
Senate,B-org
of,I-org
the,I-org
United,I-org
States,I-org
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1213,4572,878,50/full/0/default.jpg",
were,O
",",O
at,O
the,O
time,O
of,O
my,O
appointment,O
",",O
well,O
ac,O
¬,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1213,4611,875,54/full/0/default.jpg",
quainted,O
with,O
my,O
having,O
to,O
finifh,O
my,O
year,O
in,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1211,4652,880,48/full/0/default.jpg",
prefiding,O
over,O
this,O
State,O
;,O
but,O
no,O
hint,O
has,O
ever,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1211,4694,879,49/full/0/default.jpg",
been,O
given,O
tome,O
of,O
my,O
acceptance,O
of,O
an,O
office,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/1210,4734,881,52/full/0/default.jpg",
under,O
the,O
prefent,O
general,O
government,O
",",O
rendering,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/2130,247,876,49/full/0/default.jpg",
void,O
any,O
State,O
appointment,O
;,O
even,O
though,O
I,O
have,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/2132,288,874,50/full/0/default.jpg",
had,O
the,O
honour,O
of,O
being,O
often,O
",",O
fince,O
my,O
accep,O
¬,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/2133,328,872,48/full/0/default.jpg",
tance,O
of,O
the,O
office,O
of,O
Diftridl,O
Judge,O
for,O
New,B-loc
-,I-loc
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/2134,370,873,46/full/0/default.jpg",
Hampfttire,I-loc
",",O
in,O
company,O
with,O
the,O
Prefident,O
of,O
the,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/2135,411,878,41/full/0/default.jpg",
United,B-loc
States,I-loc
",",O
who,O
knew,O
I,O
was,O
the,O
Prefident,O
of,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/2133,451,878,47/full/0/default.jpg",
this,O
State,O
",",O
and,O
treated,O
me,O
as,O
fuch,O
",",O
although,O
he,O
at,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/2134,490,875,50/full/0/default.jpg",
the,O
fame,O
time,O
knew,O
that,O
I,O
had,O
long,O
before,O
accept,O
¬,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/2136,531,554,46/full/0/default.jpg",
ed,O
the,O
office,O
of,O
Federal,O
Judge,O
.,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/2177,572,835,45/full/0/default.jpg",
I,O
know,O
the,O
candour,O
and,O
juftice,O
of,O
the,O
members,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/2135,613,877,48/full/0/default.jpg",
of,O
both,O
branches,O
;,O
and,O
I,O
have,O
too,O
high,O
an,O
opinion,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/2136,653,875,49/full/0/default.jpg",
of,O
their,O
integrity,O
and,O
uprightnefs,O
to,O
fuppofe,O
",",O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/2137,695,875,45/full/0/default.jpg",
that,O
they,O
will,O
fuffer,O
themfelves,O
to,O
be,O
influenced,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/2136,736,878,46/full/0/default.jpg",
by,O
the,O
efforts,O
of,O
one,O
or,O
more,O
",",O
who,O
cannot,O
avoid,O
at,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/2136,776,877,47/full/0/default.jpg",
every,O
opportunity,O
",",O
difeovering,O
the,O
fpirit,O
which,O
alhi,O
-,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/2136,816,875,48/full/0/default.jpg",
ates,O
them,O
in,O
their,O
conduB,O
.,O
I,O
have,O
the,O
honour,O
",",O
&,O
c,O
.,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/2136,859,838,44/full/0/default.jpg",
&,O
c,O
.,O
JOHN,B-pers
SULLIVAN,I-pers
.,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790021001%2F0002.jp2/2176,899,616,49/full/0/default.jpg",
Dec,B-time
.,I-time
29,I-time
",",I-time
1789,I-time
.,O
_,O
_,O
# language = en,
# newspaper = sn83030483,
# date = 1790-03-03,
# document_id = sn83030483-1790-03-03-a-i0004,
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2380,329,374,39/full/0/default.jpg",
LONDON,B-loc
",",O
Dec,O
.,O
31,O
.,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2173,366,807,46/full/0/default.jpg",
The,O
official,O
account,O
of,O
the,O
capture,O
ofBruffels,B-loc
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2136,405,858,51/full/0/default.jpg",
pnbliflied,O
by,O
the,O
Patriots,O
",",O
is,O
as,O
under,O
.,O
It,O
is,O
dated,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2137,451,398,35/full/0/default.jpg",
the,O
12tli,O
of,O
December,O
.,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2181,485,815,53/full/0/default.jpg",
“,O
At,O
length,O
",",O
notwithftanding,O
the,O
armifiice,O
",",O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2140,528,862,47/full/0/default.jpg",
and,O
every,O
other,O
pretence,O
",",O
joo,O
brave,O
Patriots,O
of,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2141,568,858,46/full/0/default.jpg",
Brufiels,B-loc
have,O
dared,O
to,O
engage,O
in,O
battle,O
with,O
6poo,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2143,608,855,50/full/0/default.jpg",
Aullrains,O
.,O
The,O
action,O
commencedyelterday,O
af,O
¬,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2144,647,854,49/full/0/default.jpg",
ternoon,O
",",O
at,O
four,O
o,O
’,O
clock,O
.,O
The,O
firft,O
attenpt,O
was.tp,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2146,688,854,50/full/0/default.jpg",
make,O
prifoners,O
of,O
all,O
the,O
loldiers,O
who,O
guarded,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2145,730,856,46/full/0/default.jpg",
the,O
Mint,O
",",O
and,O
thofe,O
who,O
were,O
quartered,O
in,O
the,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2147,770,852,42/full/0/default.jpg",
different,O
converts,O
.,O
General,B-pers
D,I-pers
’,I-pers
Alton,I-pers
did,O
his,O
tu,O
¬,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2146,810,857,49/full/0/default.jpg",
rnoff,O
from,O
fix,O
o,O
’,O
clock,O
in,O
the,O
morning,O
to,O
negociate,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2147,850,860,44/full/0/default.jpg",
an,O
armifiice,O
.,O
About,O
(,O
even,O
o,O
’,O
clock,O
",",O
8co,O
men,O
of,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2151,890,854,50/full/0/default.jpg",
Benden,B-pers
-,I-pers
D,I-pers
’,I-pers
Aloft,I-pers
entered,O
the,O
city,O
with,O
two,O
pieces,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2150,930,854,47/full/0/default.jpg",
of,O
cannon,O
",",O
which,O
they,O
planted,O
on,O
the,O
Grand,B-loc
Pa,I-loc
¬,I-loc
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2150,971,858,52/full/0/default.jpg",
lace,I-loc
.,O
About,O
ten,O
o,O
’,O
clock,O
General,B-pers
D,I-pers
’,I-pers
Alton,I-pers
thought,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2151,1011,857,50/full/0/default.jpg",
proper,O
to,O
fend,O
a,O
large,O
dctatchment,O
in,O
order,O
to,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2153,1053,854,50/full/0/default.jpg",
releafe,O
",",O
by,O
forcible,O
means,O
",",O
the,O
ollicers,O
and,O
pri,O
¬,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2154,1092,854,48/full/0/default.jpg",
vates,O
made,O
prifoners,O
in,O
lhe,O
Bafleville,B-loc
.,O
This,O
was,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2152,1134,858,49/full/0/default.jpg",
the,O
fignal,O
for,O
a,O
new,O
engagement,O
",",O
which,O
will,O
be,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2154,1173,856,46/full/0/default.jpg",
ever,O
memorable,O
for,O
its,O
victory,O
.,O
The,O
Patriots,O
no,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2155,1214,856,50/full/0/default.jpg",
longer,O
able,O
to,O
contain,O
themfelves,O
",",O
routed,O
the,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2155,1255,858,47/full/0/default.jpg",
whole,O
detatchment,O
.,O
To,O
the,O
number,O
of,O
joo,O
",",O
at,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2155,1294,858,48/full/0/default.jpg",
the,O
utmoft,O
",",O
they,O
invelled,O
the,O
great,B-loc
market,I-loc
",",O
and,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2156,1335,856,46/full/0/default.jpg",
after,O
a,O
mod,O
obllinatc,O
conflict,O
",",O
they,O
made,O
them,O
¬,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2156,1375,858,46/full/0/default.jpg",
felves,O
mafters,O
of,O
the,O
Coros,O
de,O
Garde,O
",",O
and,O
two,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2160,1416,854,48/full/0/default.jpg",
pieces,O
of,O
cannon,O
",",O
and,O
took,O
obotlt,O
400,O
Auftrians,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2157,1457,858,49/full/0/default.jpg",
prifoners,O
.,O
About,O
the,O
fame,O
time,O
the,O
engagement,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2159,1497,857,47/full/0/default.jpg",
re,O
-,O
commenced,O
in,O
all,O
quartersof,O
the,O
city,O
;,O
and,O
",",O
in,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2157,1537,858,46/full/0/default.jpg",
lefs,O
than,O
two,O
hours,O
",",O
the,O
Patriots,O
made,O
themfelves,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2160,1578,859,46/full/0/default.jpg",
matter,O
of,O
the,O
barracks,O
of,O
the,O
military,O
andofthe,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2160,1618,853,50/full/0/default.jpg",
magazines,O
",",O
in,O
which,O
they,O
found,O
near,O
"2,000",O
muf,O
-,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2161,1659,847,47/full/0/default.jpg",
kets,O
",",O
befides,O
cartridges,O
",",O
ammunition,O
",",O
&,O
c,O
.,O
To,O
¬,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2163,1699,851,46/full/0/default.jpg",
wards,O
noon,O
",",O
they,O
attacked,O
the,O
Park,B-loc
and,O
the,O
Pal,B-loc
¬,I-loc
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2161,1740,854,50/full/0/default.jpg",
ace,I-loc
Royale,I-loc
",",O
where,O
the,O
greateft,O
body,O
of,O
troops,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2161,1780,855,47/full/0/default.jpg",
were,O
concentered,O
",",O
with,O
12,O
pieces,O
or,O
cannon,O
.,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2163,1821,854,47/full/0/default.jpg",
After,O
a,O
very,O
heavy,O
firing,O
on,O
both,O
fides,O
",",O
D,B-pers
’,I-pers
Alton,I-pers
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2163,1861,855,49/full/0/default.jpg",
perceiving,O
that,O
the,O
place,O
was,O
no,O
longer,O
tenable,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2162,1903,855,47/full/0/default.jpg",
againtt,O
fo,O
much,O
bravery,O
",",O
capitulated,O
for,O
the,O
im,O
¬,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2163,1943,856,47/full/0/default.jpg",
mediate,O
retreat,O
of,O
his,O
whole,O
gerrifon,O
;,O
and,O
the,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2164,1983,853,47/full/0/default.jpg",
requell,O
having,O
been,O
acceded,O
to,O
",",O
about,O
one,O
o,O
’,O
clock,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2163,2024,856,49/full/0/default.jpg",
they,O
departed,O
",",O
with,O
great,O
precipitation,O
",",O
through,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2164,2065,855,38/full/0/default.jpg",
the,O
Porte,B-loc
de,I-loc
Namur,I-loc
.,O
But,O
as,O
all,O
the,O
foldieis,O
arc,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2164,2104,854,48/full/0/default.jpg",
not,O
equally,O
inclined,O
to,O
follow,O
hinj,O
",",O
at,O
the,O
mo,O
¬,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2162,2145,859,50/full/0/default.jpg",
ment,O
this,O
is,O
writing,O
",",O
they,O
are,O
fquabbling,O
among,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2166,2186,853,47/full/0/default.jpg",
theinlelves,O
",",O
without,O
the,O
city,O
.,O
Already,O
",",O
we,O
have,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2167,2227,850,47/full/0/default.jpg",
got,O
more,O
than,O
"3,000",O
prifoners,O
;,O
buta,O
few,O
killed,O
",",O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_himalayan_ver02%2Fdata%2Fsn83030483%2Fprint%2F1790030301%2F0004.jp2/2167,2270,458,44/full/0/default.jpg",
and,O
no,O
houfes,O
plundered,O
.,O
# language = en,
# newspaper = sn84026272,
# date = 1800-07-09,
# document_id = sn84026272-1800-07-09-a-i0003,
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_ocicat_ver01%2Fdata%2Fsn84026272%2Fprint%2F1800070901%2F0003.jp2/2411,1245,702,62/full/0/default.jpg",
For,O
the,O
Gazstte,B-prod
of,I-prod
the,I-prod
Unites,I-prod
States,I-prod
",",O
i,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_ocicat_ver01%2Fdata%2Fsn84026272%2Fprint%2F1800070901%2F0003.jp2/2638,1340,222,42/full/0/default.jpg",
Letter,O
I,O
.,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_ocicat_ver01%2Fdata%2Fsn84026272%2Fprint%2F1800070901%2F0003.jp2/2486,1425,523,52/full/0/default.jpg",
TO,O
THOMAS,B-pers
JEFFERSON,I-pers
",",I-pers
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_ocicat_ver01%2Fdata%2Fsn84026272%2Fprint%2F1800070901%2F0003.jp2/2544,1476,409,39/full/0/default.jpg",
Vise,I-pers
President,I-pers
of,I-pers
the,I-pers
Unit,I-pers
.,I-pers
!,I-pers
States,I-pers
",",O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_ocicat_ver01%2Fdata%2Fsn84026272%2Fprint%2F1800070901%2F0003.jp2/2666,1525,379,51/full/0/default.jpg",
Philad,B-loc
:,O
July,B-time
3,I-time
",",I-time
1800,I-time
.,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_ocicat_ver01%2Fdata%2Fsn84026272%2Fprint%2F1800070901%2F0003.jp2/2444,1614,640,55/full/0/default.jpg",
AS,O
you,O
are,O
a,O
candidate,O
for,O
the,O
Supreme,O
-,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_ocicat_ver01%2Fdata%2Fsn84026272%2Fprint%2F1800070901%2F0003.jp2/2404,1650,679,56/full/0/default.jpg",
Magistracy,O
ot,O
the,O
United,B-loc
States,I-loc
",",O
a,O
know,O
¬,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_ocicat_ver01%2Fdata%2Fsn84026272%2Fprint%2F1800070901%2F0003.jp2/2402,1692,678,57/full/0/default.jpg",
ledge,O
of,O
your,O
character,O
and,O
qualifications,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_ocicat_ver01%2Fdata%2Fsn84026272%2Fprint%2F1800070901%2F0003.jp2/2401,1732,679,57/full/0/default.jpg",
becomes,O
a,O
subject,O
of,O
great,O
importance,O
to,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_ocicat_ver01%2Fdata%2Fsn84026272%2Fprint%2F1800070901%2F0003.jp2/2399,1776,679,54/full/0/default.jpg",
every,O
lover,O
of,O
his,O
country,O
.,O
—,O
Had,O
you,O
been,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_ocicat_ver01%2Fdata%2Fsn84026272%2Fprint%2F1800070901%2F0003.jp2/2400,1818,679,45/full/0/default.jpg",
content,O
to,O
have,O
moved,O
in,O
the,O
humble,O
walks,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_ocicat_ver01%2Fdata%2Fsn84026272%2Fprint%2F1800070901%2F0003.jp2/2400,1854,678,57/full/0/default.jpg",
of,O
private,O
life,O
and,O
never,O
interfered,O
in,O
politi,O
¬,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_ocicat_ver01%2Fdata%2Fsn84026272%2Fprint%2F1800070901%2F0003.jp2/2398,1895,678,57/full/0/default.jpg",
cal,O
concerns,O
",",O
I,O
would,O
not,O
have,O
troubled,O
you,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_ocicat_ver01%2Fdata%2Fsn84026272%2Fprint%2F1800070901%2F0003.jp2/2399,1937,678,55/full/0/default.jpg",
cr,O
the,O
public,O
with,O
these,O
setters,O
",",O
since,O
your,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_ocicat_ver01%2Fdata%2Fsn84026272%2Fprint%2F1800070901%2F0003.jp2/2400,1976,677,49/full/0/default.jpg",
vices,O
or,O
your,O
virtues,O
could,O
have,O
had,O
but,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_ocicat_ver01%2Fdata%2Fsn84026272%2Fprint%2F1800070901%2F0003.jp2/2396,2016,681,56/full/0/default.jpg",
little,O
relation,O
to,O
our,O
national,O
happiness,O
;,O
—,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_ocicat_ver01%2Fdata%2Fsn84026272%2Fprint%2F1800070901%2F0003.jp2/2398,2056,677,49/full/0/default.jpg",
You,O
might,O
then,O
",",O
Sir,O
",",O
have,O
Aided,O
down,O
the,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_ocicat_ver01%2Fdata%2Fsn84026272%2Fprint%2F1800070901%2F0003.jp2/2395,2096,680,54/full/0/default.jpg",
current,O
of,O
Use,O
in,O
obscurity,O
",",O
and,O
at,O
least,O
have,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_ocicat_ver01%2Fdata%2Fsn84026272%2Fprint%2F1800070901%2F0003.jp2/2395,2134,681,58/full/0/default.jpg",
had,O
the,O
consolation,O
to,O
know,O
that,O
your,O
de,O
¬,O
"# segment_iiif_link = https://chroniclingamerica.loc.gov/iiif/2/dlc_ocicat_ver01%2Fdata%2Fsn84026272%2Fprint%2F1800070901%2F0003.jp2/2393,2175,681,56/full/0/default.jpg",
formities,O
were,O
hidden,O
from,O
the,O
world,O
.,O
But,O
",",O
